class_name;count
person;203
bicycle;20
car;159
motorcycle;19
airplane;0
bus;2
train;0
truck;6
boat;0
traffic light;13
fire hydrant;1
stop sign;5
parking meter;0
bench;2
bird;1
cat;0
dog;0
horse;0
sheep;0
cow;0
elephant;0
bear;0
zebra;0
giraffe;0
backpack;3
umbrella;0
handbag;14
tie;0
suitcase;0
frisbee;0
skis;0
snowboard;0
sports ball;0
kite;0
baseball bat;0
baseball glove;0
skateboard;1
surfboard;0
tennis racket;0
bottle;0
wine glass;0
cup;0
fork;0
knife;0
spoon;0
bowl;0
banana;0
apple;0
sandwich;0
orange;0
broccoli;0
carrot;0
hot dog;0
pizza;0
donut;0
cake;0
chair;0
couch;0
potted plant;0
bed;0
dining table;0
toilet;2
tv;0
laptop;0
mouse;0
remote;0
keyboard;0
cell phone;2
microwave;0
oven;0
toaster;0
sink;0
refrigerator;0
book;0
clock;0
vase;0
scissors;0
teddy bear;0
hair drier;0
toothbrush;0
